 ,ADU/Duplex Potential,+ Units on Speculatively Held Lots,+ SB3202 ADU,+ Projects in Pipeline,Total
Low ADU Estimate,"22,000","5,850","22,000",25167,"75,017"
High ADU Estimate,"72,423","5,850","72,423",25167,"175,863"
